category,id,name,symbolSize,value
4,0,Mark J. Barrenechea,16,9.91
5,1,Patrick Dovigi,6,8.54
4,2,Linda S. Hasenfratz,14,7.89
3,3,Bradley S. Shaw,10,7.72
4,4,Frank J. Hasenfratz,14,7.58
5,5,Norman Murray Edwards,2,7.22
4,6,Dennis Mark Bristow,4,7.13
4,7,John Lawson Thornton,8,7.06
5,8,Gerald Wilfred Schwartz,2,6.3
3,9,Alain Bedard,18,6.23
5,10,Alan Kestenbaum,16,6.02
5,11,Jim Jarrell,8,5.43
4,12,P. Jane Gavan,14,5.22
4,13,Brian P. Hannasch,4,5.1
7,14,Stephen John Hasker,1,5
4,15,Dani Reiss,16,4.87
6,16,Ajay Kumar Virmani,2,4.85
1,17,Donald R. Lindsay,18,4.62
4,18,Michael L. Rose,16,4.41
3,19,Robert M. Le Blanc,12,4.4
4,20,Rocco Gori,2,4.31
4,21,Keith E. Creel,16,4.27
4,22,Sean Boyd,20,4.19
6,23,Anthony Paul Makuch,2,4.04
7,24,Paul Anthony Mahon,1,4.02
6,25,Barry Sean McInerney,2,3.96
4,26,Jose Boisjoli,16,3.95
5,27,Timothy Shawn McKay,2,3.94
5,28,Jean Gattuso,8,3.92
7,29,Michael Bennett Medline,1,3.9
1,30,Al Monaco,20,3.89
5,31,Geoffrey T. Martin,10,3.84
7,32,Robert Andrew Mionis,1,3.83
1,33,Joseph C. Papa,18,3.74
4,34,Peter J. Marrone,4,3.67
6,35,Jamie Bennett Porteous,2,3.67
4,36,Charles J. G. Brindamour,14,3.65
4,37,Anthony Munk,16,3.65
4,38,Jean-Guy Desjardins,10,3.65
6,39,Jeffrey Robert Carney,2,3.59
2,40,Francois Olivier,18,3.54
2,41,Randall L. Crawford,14,3.34
7,42,Kevin Andrew McCreadie,1,3.33
6,43,Damon Murchison,2,3.24
0,44,Alan Schwartz,18,3.1
4,45,Neil Rossy,18,3.09
7,46,Ann M. Fandozzi,1,3.04
4,47,Glenn J. Chamandy,16,3.02
1,48,John S. Chen,14,3.01
3,49,Galen G. Weston,20,3
5,50,Gary Berman,14,2.98
4,51,Daniel Racine,16,2.96
4,52,Michael H. McCain,18,2.9
6,53,Peter F. Grosskopf,2,2.89
7,54,David Eric Klein,1,2.79
5,55,W. Whitney George,4,2.79
5,56,Brian Johnston Porter,4,2.78
4,57,Graham Patrick Shuttleworth,2,2.77
5,58,William Darryl White,2,2.74
7,59,Stephen Clarkson Peacher,1,2.72
3,60,Derek Neldner,4,2.69
4,61,Bharat B. Masrani,18,2.69
5,62,Kevin J. Thomson,2,2.65
7,63,David Gerard Hutchens,1,2.65
4,64,Luc Mongeau,4,2.63
4,65,Michael J. Cooper,18,2.62
5,66,Steven R. Spaulding,14,2.59
7,67,Navjeet Singh Dhillon,1,2.58
3,68,Laurent Ferreira,14,2.57
6,69,Photis Peter Pascali,2,2.57
4,70,Mirko Bibic,16,2.52
7,71,Scott Carlyle Balfour,1,2.5
7,72,George Raymond Burns,1,2.5
4,73,Randy V. J. Smallwood,16,2.48
6,74,Timothy Michael Miller,2,2.47
5,75,Eric Richer La Fleche,8,2.43
7,76,Terrance Lloyd McKibbon,1,2.42
5,77,Joseph M. Natale,10,2.41
6,78,Michael Cammarata,4,2.41
5,79,Claude Bigras,14,2.41
5,80,Ewout R. Heersink,2,2.4
4,81,L. Scott Thomson,16,2.4
6,82,Pauline Dhillon,2,2.4
2,83,David I. McKay,12,2.39
7,84,Bradley William Corson,1,2.38
2,85,Louis Vachon ,20,2.36
6,86,Jose E. Cil,2,2.34
4,87,Nancy C. Southern,18,2.34
5,88,Donald B. Kayne,14,2.32
7,89,Peter Gerald Jan Kukielski,1,2.32
4,90,Daniel Barclay,6,2.31
3,91,Trevor English,4,2.29
4,92,Zoran Stakic,4,2.29
2,93,Alain Bouchard,20,2.26
5,94,Frank Patrick D'Eramo,2,2.25
2,95,Donald M. Jenkins,2,2.24
4,96,Madhu Ranganathan,16,2.23
4,97,Richard Lord,16,2.23
4,98,Anil Wadhwani,4,2.21
5,99,Kevan S. Gorrie,6,2.19
4,100,Ian L. Edwards,14,2.19
0,101,Martin Schwartz,16,2.19
0,102,Jeffrey Schwartz,18,2.19
2,103,Jeff Segel,16,2.19
5,104,Jay A. Forbes,6,2.18
4,105,Thomas J. Appio,2,2.16
4,106,Michael Steinmann,16,2.15
4,107,Simon David Harrison,2,2.14
4,108,Siegfried W. Kiefer,2,2.13
4,109,Timothy Alexander Miller,2,2.12
5,110,Christopher Allan Govan,2,2.11
3,111,Victor G. Dodig,18,2.1
4,112,Paul S. Herendeen,2,2.1
4,113,Mark Kenney,14,2.1
4,114,Geert Verellen,2,2.1
5,115,Ian M. Fillinger,14,2.1
5,116,Robert P. Wildeboer,6,2.1
4,117,Worthing F. Jackman,18,2.09
4,118,Richard Dufresne,8,2.07
3,119,Paul McAleese,4,2.07
4,120,Joseph D. Randell,16,2.06
1,121,Marc Parent,20,2.05
4,122,Stephen Elias Loukas,2,2.01
4,123,Geoffrey Robillard,4,2
5,124,Brian Tellef Vaasjo,2,2
4,125,Thomas J. Hofstedter,16,2
